CGY,MNL,782.342719
CRM,MNL,450.125427
CYP,MNL,467.863597
DGT,MNL,626.616133
DPL,MNL,703.573131
DVO,CEB,398.404084
DVO,CGY,183.220392
DVO,MNL,963.786920
DVO,ZAM,396.411119
GES,ILO,591.511612
GES,MNL,1041.714409
HKG,CEB,1711.454482
ILO,CEB,163.147832
ILO,GES,591.511612
ILO,MNL,453.349676
ILO,PPS,428.183007
JOL,ZAM,150.844180
KLO,MNL,347.210401
KUL,MNL,2489.852602
LAO,MNL,411.332150
LGP,MNL,330.531952
MBT,MNL,369.072018
MNL,BCD,477.242211
MNL,BSO,668.589357
MNL,BXU,785.655654
MNL,CBO,887.661510
MNL,CEB,566.997962
MNL,CGY,782.342719
MNL,CRM,450.125427
MNL,CYP,467.863597
MNL,DGT,626.616133
MNL,DPL,703.573131
MNL,DVO,963.786920
MNL,GES,1041.714409
MNL,ILO,453.349676
MNL,KLO,347.210401
MNL,KUL,2489.852602
MNL,LAO,411.332150
MNL,LGP,330.531952
MNL,MBT,369.072018
MNL,MPH,304.903363
MNL,OZC,768.116894
MNL,PPS,584.196488
MNL,RXS,374.120309
MNL,SIN,2374.781627
MNL,SUG,716.932420
MNL,TAC,567.296893
MNL,TAG,620.525217
MNL,TUG,356.196489
MNL,USU,283.476362
MNL,WNP,263.610101
MNL,ZAM,851.156863
MPH,CEB,284.763457
MPH,MNL,304.903363
OZC,CEB,237.219664
OZC,MNL,768.116894
PPS,CEB,575.091717
PPS,ILO,428.183007
PPS,MNL,584.196488
PPS,USU,302.388025
RXS,MNL,374.120309
SIN,MNL,2374.781627
SUG,MNL,716.932420
TAC,CEB,153.559604
TAC,MNL,567.296893
TAG,MNL,620.525217
TUG,MNL,356.196489
USU,CEB,468.727175
USU,MNL,283.476362
USU,PPS,302.388025
WNP,MNL,263.610101
ZAM,CEB,431.529237
ZAM,DVO,396.411119
ZAM,JOL,150.844180
ZAM,MNL,851.156863
HEL,POR,213.218672
POR,HEL,213.218672
